Hari,Jam Ke,Waktu,Kelas,Mapel,Kode Guru
Jumat,2,08:10-08:50,IX-D,PJOK,12
Jumat,2,08:10-08:50,IX-E,PJOK,12
Jumat,2,08:10-08:50,IX-F,PJOK,12
Jumat,3,08:50-09:30,VIII-A,IPA,3
Jumat,3,08:50-09:30,VIII-B,B.Indonesia,23
Jumat,3,08:50-09:30,VIII-C,PJOK,11
Jumat,3,08:50-09:30,VIII-D,PJOK,11
Jumat,3,08:50-09:30,VIII-E,B.Indonesia,23
Jumat,3,08:50-09:30,VIII-F,B.Indonesia,23
Jumat,3,08:50-09:30,VIII-G,Bahasa_Inggris,14
Jumat,3,08:50-09:30,VIII-H,I,nformatika
Jumat,3,08:50-09:30,IX-A,IPA,2
Jumat,3,08:50-09:30,IX-B,Matematika,8
Jumat,3,08:50-09:30,IX-C,Bahasa_Inggris,15
Jumat,3,08:50-09:30,IX-D,PJOK,12
Jumat,3,08:50-09:30,IX-E,PJOK,12
Jumat,3,08:50-09:30,IX-F,PJOK,12
Jumat,4,09:40-10:20,VIII-A,IPA,3
Jumat,4,09:40-10:20,VIII-B,B.Indonesia,24
Jumat,4,09:40-10:20,VIII-C,Informatika,16
Jumat,4,09:40-10:20,VIII-D,Agm/B.Pekerti,26
Jumat,4,09:40-10:20,VIII-E,Bahasa_Bali,29
Jumat,4,09:40-10:20,VIII-F,B.Indonesia,23
Jumat,4,09:40-10:20,VIII-G,IPA,2
Jumat,4,09:40-10:20,VIII-H,Agm/B.Pekerti,26
Jumat,4,09:40-10:20,IX-A,Informatika,30
Jumat,4,09:40-10:20,IX-B,Bahasa_Inggris,15
Jumat,4,09:40-10:20,IX-C,IPS,18
Jumat,4,09:40-10:20,IX-D,P.Pancasila,10
Jumat,4,09:40-10:20,IX-E,Matematika,8
Jumat,4,09:40-10:20,IX-F,Seni_Musik,19
Jumat,5,10:20-11:00,VIII-A,Kokurikuler,
Jumat,5,10:20-11:00,VIII-B,Kokurikuler,
Jumat,5,10:20-11:00,VIII-C,Kokurikuler,
Jumat,5,10:20-11:00,VIII-D,Kokurikuler,
Jumat,5,10:20-11:00,VIII-E,Kokurikuler,
Jumat,5,10:20-11:00,VIII-F,Kokurikuler,
Jumat,5,10:20-11:00,VIII-G,Kokurikuler,
Jumat,5,10:20-11:00,VIII-H,Kokurikuler,
Jumat,5,10:20-11:00,IX-A,Kokurikuler,
Jumat,5,10:20-11:00,IX-B,Kokurikuler,
Jumat,5,10:20-11:00,IX-C,Kokurikuler,
Jumat,5,10:20-11:00,IX-D,Kokurikuler,
Jumat,5,10:20-11:00,IX-E,Kokurikuler,
Jumat,5,10:20-11:00,IX-F,Kokurikuler,
Jumat,6,11:00-11:40,VIII-A,Kokurikuler,
Jumat,6,11:00-11:40,VIII-B,Kokurikuler,
Jumat,6,11:00-11:40,VIII-C,Kokurikuler,
Jumat,6,11:00-11:40,VIII-D,Kokurikuler,
Jumat,6,11:00-11:40,VIII-E,Kokurikuler,
Jumat,6,11:00-11:40,VIII-F,Kokurikuler,
Jumat,6,11:00-11:40,VIII-G,Kokurikuler,
Jumat,6,11:00-11:40,VIII-H,Kokurikuler,
Jumat,6,11:00-11:40,IX-A,Kokurikuler,
Jumat,6,11:00-11:40,IX-B,Kokurikuler,
Jumat,6,11:00-11:40,IX-C,Kokurikuler,
Jumat,6,11:00-11:40,IX-D,Kokurikuler,
Jumat,6,11:00-11:40,IX-E,Kokurikuler,
Jumat,6,11:00-11:40,IX-F,Kokurikuler,
Jumat,7,11:50-12:30,VIII-A,Kokurikuler,
